is_staff_in_frame,prediction,X_coord_tag,Y_coord_tag
0,0.015311731,,
0,0.016347358,,
0,0.015290435,,
0,0.0133118685,,
0,0.017267723,,
0,0.017039288,,
0,0.015730599,,
0,0.018370064,,
0,0.018463384,,
0,0.022643104,,
0,0.023162056,,
0,0.019270366,,
0,0.022408308,,
0,0.018119218,,
0,0.021677064,,
0,0.026631238,,
0,0.023869568,,
0,0.025288928,,
0,0.021131963,,
0,0.021366589,,
0,0.020613613,,
0,0.022068959,,
0,0.023991797,,
0,0.026636258,,
0,0.025493795,,
0,0.028715821,,
0,0.022786906,,
0,0.023630314,,
0,0.026729545,,
0,0.02467384,,
0,0.017129721,,
0,0.017109342,,
0,0.01551848,,
0,0.01461635,,
0,0.013761457,,
0,0.012366422,,
0,0.01195226,,
0,0.014855091,,
0,0.014953848,,
0,0.013115536,,
0,0.020893788,,
0,0.0245477,,
0,0.023066398,,
0,0.02303597,,
0,0.023595823,,
0,0.021223065,,
0,0.019922676,,
0,0.023682812,,
0,0.020203449,,
0,0.02138338,,
0,0.026390105,,
0,0.030488575,,
0,0.03215495,,
0,0.030738758,,
0,0.03186849,,
0,0.025569355,,
0,0.032784995,,
0,0.037063826,,
0,0.02475257,,
0,0.030450298,,
0,0.06210863,,
0,0.0588368,,
0,0.046068832,,
0,0.06228062,,
0,0.04255399,,
0,0.04948463,,
0,0.057687648,,
0,0.05713237,,
0,0.047151923,,
0,0.03706808,,
0,0.033954527,,
0,0.028380176,,
0,0.026151057,,
0,0.021354249,,
0,0.019754412,,
0,0.020621633,,
0,0.023738421,,
0,0.026700705,,
0,0.031672314,,
0,0.025748631,,
0,0.023542287,,
0,0.031266093,,
0,0.033826504,,
0,0.039591037,,
0,0.057120353,,
0,0.049895734,,
0,0.047194302,,
0,0.0394385,,
0,0.04042313,,
0,0.041034166,,
0,0.032014392,,
0,0.033780437,,
0,0.030784717,,
0,0.029970117,,
0,0.025388656,,
0,0.023472996,,
0,0.016749855,,
0,0.018259862,,
0,0.021473462,,
0,0.02156831,,
0,0.020566998,,
0,0.024685191,,
0,0.025277065,,
0,0.022658827,,
0,0.02331768,,
0,0.024513423,,
0,0.0197114,,
0,0.014192227,,
0,0.015153292,,
0,0.015289603,,
0,0.0146914115,,
0,0.017236305,,
0,0.019639188,,
0,0.021984452,,
0,0.020252656,,
0,0.015692672,,
0,0.013030611,,
0,0.0113038905,,
0,0.015913418,,
0,0.014875272,,
0,0.017002866,,
0,0.01582806,,
0,0.020301161,,
0,0.018569997,,
0,0.020104678,,
0,0.020473804,,
0,0.01699497,,
0,0.018016834,,
0,0.02016109,,
0,0.017358674,,
0,0.017418107,,
0,0.017417813,,
0,0.022466619,,
0,0.023373159,,
0,0.021808697,,
0,0.023215199,,
0,0.027505899,,
0,0.02883387,,
0,0.035072252,,
0,0.036642004,,
0,0.032028493,,
0,0.033913434,,
0,0.0280378,,
0,0.022709804,,
0,0.022336898,,
0,0.027666597,,
0,0.03036691,,
0,0.03416871,,
0,0.050267763,,
0,0.041151274,,
0,0.03725817,,
0,0.035248827,,
0,0.02957708,,
0,0.024968714,,
0,0.023730803,,
0,0.021948133,,
0,0.027887618,,
0,0.028644018,,
0,0.028547365,,
0,0.030577775,,
0,0.027298696,,
0,0.03889875,,
0,0.039474897,,
0,0.03935302,,
0,0.032680124,,
0,0.0335329,,
0,0.031230785,,
0,0.03531447,,
0,0.02985302,,
0,0.02311236,,
0,0.019729394,,
0,0.023305412,,
0,0.022248605,,
0,0.022807552,,
0,0.02383252,,
0,0.02334905,,
0,0.027554363,,
0,0.02624511,,
0,0.02492804,,
0,0.021918818,,
0,0.017428998,,
0,0.020134747,,
0,0.01906164,,
0,0.019409098,,
0,0.01786487,,
0,0.017499594,,
0,0.019470027,,
0,0.018154433,,
0,0.018317696,,
0,0.016690621,,
0,0.019693304,,
0,0.020384012,,
0,0.019878646,,
0,0.019143244,,
0,0.018663801,,
0,0.019298842,,
0,0.014787576,,
0,0.012827691,,
0,0.012982894,,
0,0.010953644,,
0,0.012699974,,
0,0.012656497,,
0,0.012921172,,
0,0.011036385,,
0,0.011948779,,
0,0.016585298,,
0,0.015409844,,
0,0.013859744,,
0,0.015165622,,
0,0.013805158,,
0,0.014731748,,
0,0.013950474,,
0,0.014405973,,
0,0.023667485,,
0,0.024276126,,
0,0.024682648,,
0,0.029842906,,
0,0.030733392,,
0,0.031241076,,
0,0.03038603,,
0,0.034191743,,
0,0.03396408,,
0,0.03501302,,
0,0.032041777,,
0,0.047756273,,
0,0.049998146,,
0,0.044768818,,
0,0.02899969,,
0,0.03150602,,
0,0.032008313,,
0,0.032784857,,
0,0.031312097,,
0,0.02856542,,
0,0.022988888,,
0,0.02388297,,
0,0.024164563,,
0,0.023371963,,
0,0.029012771,,
0,0.031245232,,
0,0.022466548,,
0,0.04962299,,
0,0.0460552,,
0,0.057353597,,
0,0.060542848,,
0,0.067501456,,
0,0.056328617,,
0,0.06089177,,
0,0.069347516,,
0,0.062402878,,
0,0.06596022,,
0,0.060619656,,
0,0.058141924,,
0,0.04718723,,
0,0.03683397,,
0,0.040354498,,
0,0.053058095,,
0,0.044235658,,
0,0.03483179,,
0,0.039698947,,
0,0.036345724,,
0,0.042653985,,
0,0.050098732,,
0,0.056562837,,
0,0.071572535,,
0,0.07676637,,
0,0.06302009,,
0,0.044276662,,
0,0.031542886,,
0,0.03165197,,
0,0.03296618,,
0,0.030514177,,
0,0.03210997,,
0,0.036199003,,
0,0.038248926,,
0,0.031398945,,
0,0.032982685,,
0,0.037287794,,
0,0.04290015,,
0,0.032958627,,
0,0.03717939,,
0,0.04580421,,
0,0.052767344,,
0,0.04531789,,
0,0.04625883,,
0,0.047645178,,
0,0.078742534,,
0,0.06376654,,
0,0.06671679,,
0,0.06839931,,
0,0.07048496,,
0,0.06695803,,
0,0.05645404,,
0,0.05635546,,
0,0.05193109,,
0,0.07127881,,
0,0.10448865,,
0,0.11052329,,
0,0.13348858,,
0,0.14684929,,
0,0.16146336,,
0,0.18247943,,
0,0.17793724,,
0,0.15908043,,
0,0.17170826,,
0,0.15284652,,
0,0.14201911,,
0,0.13569413,,
0,0.12415884,,
0,0.14303117,,
0,0.15686141,,
0,0.1721814,,
0,0.2067224,,
0,0.20229988,,
0,0.19279326,,
0,0.17462003,,
0,0.16653459,,
0,0.16682442,,
0,0.17305283,,
0,0.17943963,,
0,0.19646537,,
0,0.19604392,,
0,0.19989485,,
0,0.21878047,,
0,0.20613338,,
0,0.18666236,,
0,0.19807433,,
0,0.15694892,,
0,0.16353387,,
0,0.17183003,,
0,0.15921074,,
0,0.1273753,,
0,0.10482435,,
0,0.13461924,,
0,0.13694951,,
0,0.120200746,,
0,0.081814304,,
0,0.102909654,,
0,0.10060121,,
0,0.1272979,,
0,0.24366799,,
0,0.2567398,,
0,0.3105635,,
0,0.47931764,,
0,0.55056196,,
0,0.41588613,,
0,0.3605746,,
0,0.20778498,,
0,0.29689014,,
0,0.18488602,,
0,0.16301991,,
0,0.10019429,,
0,0.054878127,,
0,0.14161585,,
0,0.10444788,,
0,0.18824166,,
0,0.1893766,,
0,0.21739897,,
0,0.24194375,,
0,0.1997837,,
0,0.11351822,,
0,0.11675351,,
0,0.16332324,,
0,0.41167998,,
0,0.52580464,,
0,0.52667063,,
0,0.61315584,,
0,0.58127534,,
0,0.5425691,,
0,0.42808184,,
0,0.50931364,,
0,0.69417524,,
1,0.75861555,446.0027770996094,113.71568298339844
1,0.84126806,446.4956359863281,104.20218658447266
1,0.8647979,446.86529541015625,87.01123809814453
1,0.8791585,449.65008544921875,86.27134704589844
1,0.8514535,444.6212158203125,142.05514526367188
1,0.81945735,441.8283996582031,135.1878662109375
1,0.87983763,448.91754150390625,97.20195007324219
1,0.8889559,453.233154296875,106.70307159423828
1,0.86068535,450.29010009765625,114.89257049560547
1,0.8370092,440.3646545410156,148.1061248779297
1,0.81618273,439.0170593261719,141.16111755371094
1,0.8375878,441.8559265136719,114.27958679199219
1,0.8913454,444.2070617675781,77.7704849243164
1,0.91091263,447.73297119140625,83.8150405883789
1,0.8766229,452.32342529296875,109.66728973388672
1,0.92237735,456.1743469238281,105.45805358886719
1,0.9390083,458.05908203125,125.8475570678711
1,0.91829485,461.928955078125,87.97649383544922
1,0.8584727,463.5845642089844,103.36189270019531
1,0.81081545,449.70849609375,163.8552703857422
0,0.6353514,,
0,0.42397037,,
0,0.5234225,,
0,0.54596555,,
0,0.63528633,,
0,0.601993,,
0,0.5390318,,
0,0.38510484,,
0,0.18996358,,
0,0.5594358,,
0,0.63102883,,
0,0.6163381,,
0,0.5975392,,
0,0.3425552,,
1,0.72984207,463.7440490722656,522.8142700195312
1,0.91739863,473.9875183105469,503.64251708984375
1,0.8989546,460.39788818359375,485.1257019042969
1,0.8440501,444.0500793457031,422.6165771484375
1,0.799142,434.56988525390625,484.2153625488281
1,0.7287736,432.96978759765625,495.7959899902344
0,0.692966,,
0,0.55671877,,
0,0.50052917,,
0,0.4804833,,
0,0.5359644,,
0,0.6939161,,
1,0.70875883,432.12506103515625,473.7647705078125
0,0.64332443,,
0,0.696917,,
1,0.7807563,434.70318603515625,442.5823059082031
1,0.7151517,435.00152587890625,481.8075256347656
0,0.690472,,
